Number of data points: 42

Log(n) Log(R/S)
0.477121 0.129669
0.60206 0.223792
0.69897 0.300177
0.778151 0.365674
0.845098 0.420295
0.90309 0.469483
0.954243 0.50458
1 0.535512
1.04139 0.566743
1.07918 0.587888
1.11394 0.608632
1.14613 0.626241
1.17609 0.648837
1.20412 0.665139
1.23045 0.676391
1.25527 0.693207
1.27875 0.708254
1.30103 0.722175
1.32222 0.733865
1.34242 0.743627
1.36173 0.75404
1.38021 0.765835
1.39794 0.78024
1.41497 0.795444
1.43136 0.807184
1.44716 0.807315
1.4624 0.804236
1.47712 0.799433
1.49136 0.799431
1.50515 0.792547
1.51851 0.789689
1.53148 0.793327
1.54407 0.796063
1.5563 0.799823
1.5682 0.805072
1.57978 0.80962
1.59106 0.815298
1.60206 0.841158
1.61278 0.870202
1.62325 0.909631

H = 0.599109

Time taken: 0.005954 seconds
